conversation_id,user_id,start_time,end_time,duration_minutes,category,satisfaction_score,is_resolved
conv_000001,user_00736,2025-07-20 14:59:14.481404,2025-07-20 15:09:14.481404,10,technical_help,3,True
conv_000002,user_00952,2025-08-08 19:01:10.481404,2025-08-08 19:18:10.481404,17,billing_question,5,False
conv_000003,user_00607,2025-09-14 13:21:16.481404,2025-09-14 13:33:16.481404,12,customer_support,5,True
conv_000004,user_00871,2025-09-13 22:32:43.481404,2025-09-13 22:40:43.481404,8,feature_request,3,True
conv_000005,user_00439,2025-09-11 17:33:46.481404,2025-09-11 18:06:46.481404,33,customer_support,5,True
conv_000006,user_00013,2025-09-29 23:45:39.481404,2025-09-30 00:03:39.481404,18,billing_question,3,True
conv_000007,user_00371,2025-09-09 05:07:37.481404,2025-09-09 05:16:37.481404,9,general_feedback,3,True
conv_000008,user_00752,2025-08-29 03:51:51.481404,2025-08-29 04:04:51.481404,13,feature_request,5,True
conv_000009,user_00477,2025-08-20 19:04:06.481404,2025-08-20 19:10:06.481404,6,technical_help,3,True
conv_000010,user_00089,2025-08-05 14:03:22.481404,2025-08-05 14:12:22.481404,9,product_inquiry,4,True
conv_000011,user_00685,2025-08-15 07:12:55.481404,2025-08-15 07:15:55.481404,3,customer_support,3,True
conv_000012,user_00187,2025-08-25 20:10:48.481404,2025-08-25 20:21:48.481404,11,technical_help,4,True
conv_000013,user_00902,2025-09-05 09:14:53.481404,2025-09-05 09:27:53.481404,13,feature_request,3,True
conv_000014,user_00196,2025-07-17 19:35:56.481404,2025-07-17 19:40:56.481404,5,general_feedback,4,True
conv_000015,user_00777,2025-08-01 20:06:06.481404,2025-08-01 20:26:06.481404,20,general_feedback,5,True
conv_000016,user_00812,2025-07-11 04:17:09.481404,2025-07-11 04:20:09.481404,3,technical_help,3,True
conv_000017,user_00250,2025-08-08 05:37:05.481404,2025-08-08 05:42:05.481404,5,technical_help,3,True
conv_000018,user_00353,2025-08-19 19:36:07.481404,2025-08-19 19:51:07.481404,15,technical_help,5,True
conv_000019,user_00314,2025-08-02 21:55:09.481404,2025-08-02 22:19:09.481404,24,customer_support,5,False
conv_000020,user_00123,2025-09-19 15:08:41.481404,2025-09-19 15:13:41.481404,5,general_feedback,2,False
conv_000021,user_00757,2025-08-25 12:22:15.481404,2025-08-25 12:49:15.481404,27,general_feedback,5,True
conv_000022,user_00538,2025-09-05 10:43:46.481404,2025-09-05 10:57:46.481404,14,customer_support,3,True
conv_000023,user_00370,2025-07-26 22:14:07.481404,2025-07-26 22:20:07.481404,6,customer_support,5,True
conv_000024,user_00281,2025-07-13 22:09:56.481404,2025-07-13 22:11:56.481404,2,feature_request,4,True
conv_000025,user_00130,2025-09-09 10:27:01.481404,2025-09-09 10:47:01.481404,20,customer_support,3,True
conv_000026,user_00481,2025-08-24 23:35:28.481404,2025-08-24 23:44:28.481404,9,technical_help,3,True
conv_000027,user_00259,2025-10-01 04:03:59.481404,2025-10-01 04:23:59.481404,20,customer_support,3,True
conv_000028,user_00076,2025-09-03 12:39:47.481404,2025-09-03 12:52:47.481404,13,product_inquiry,4,True
conv_000029,user_00972,2025-08-08 00:05:40.481404,2025-08-08 00:08:40.481404,3,product_inquiry,3,True
conv_000030,user_00427,2025-09-06 08:55:44.481404,2025-09-06 09:07:44.481404,12,feature_request,4,True
conv_000031,user_00454,2025-08-07 08:59:21.481404,2025-08-07 09:17:21.481404,18,technical_help,5,True
conv_000032,user_00625,2025-09-19 08:38:22.481404,2025-09-19 08:46:22.481404,8,product_inquiry,5,True
conv_000033,user_00677,2025-07-17 09:17:12.481404,2025-07-17 09:21:12.481404,4,product_inquiry,3,True
conv_000034,user_00161,2025-07-09 18:20:28.481404,2025-07-09 18:56:28.481404,36,billing_question,5,True
conv_000035,user_00299,2025-07-12 16:09:45.481404,2025-07-12 16:21:45.481404,12,technical_help,5,True
conv_000036,user_00881,2025-08-22 14:04:33.481404,2025-08-22 14:11:33.481404,7,general_feedback,3,True
conv_000037,user_00807,2025-09-24 07:50:50.481404,2025-09-24 08:01:50.481404,11,billing_question,3,True
conv_000038,user_00664,2025-07-23 23:16:36.481404,2025-07-23 23:29:36.481404,13,product_inquiry,3,False
conv_000039,user_00812,2025-08-08 08:53:37.481404,2025-08-08 08:59:37.481404,6,billing_question,3,True
conv_000040,user_00312,2025-09-15 10:36:14.481404,2025-09-15 10:44:14.481404,8,technical_help,5,True
conv_000041,user_00449,2025-07-17 07:32:58.481404,2025-07-17 07:38:58.481404,6,billing_question,5,True
conv_000042,user_00257,2025-07-12 00:22:33.481404,2025-07-12 00:23:33.481404,1,product_inquiry,4,True
conv_000043,user_00590,2025-09-04 12:12:07.481404,2025-09-04 12:13:07.481404,1,general_feedback,3,True
conv_000044,user_00782,2025-09-20 22:20:25.481404,2025-09-20 22:24:25.481404,4,billing_question,5,True
conv_000045,user_00939,2025-08-05 12:15:29.481404,2025-08-05 12:25:29.481404,10,feature_request,4,True
conv_000046,user_00504,2025-07-18 08:42:59.481404,2025-07-18 08:46:59.481404,4,technical_help,3,True
conv_000047,user_00687,2025-07-19 15:50:30.481404,2025-07-19 15:54:30.481404,4,technical_help,4,True
conv_000048,user_00296,2025-09-11 20:02:16.481404,2025-09-11 20:06:16.481404,4,feature_request,2,True
conv_000049,user_00323,2025-08-03 00:14:18.481404,2025-08-03 00:44:18.481404,30,customer_support,5,True
conv_000050,user_00845,2025-07-09 14:47:18.481404,2025-07-09 14:57:18.481404,10,billing_question,4,False
conv_000051,user_00531,2025-08-13 15:06:48.481404,2025-08-13 15:15:48.481404,9,general_feedback,4,True
conv_000052,user_00209,2025-08-04 10:23:33.481404,2025-08-04 11:08:33.481404,45,product_inquiry,5,True
conv_000053,user_00716,2025-08-25 13:34:00.481404,2025-08-25 13:37:00.481404,3,customer_support,5,True
conv_000054,user_00246,2025-09-16 10:01:12.481404,2025-09-16 10:11:12.481404,10,technical_help,5,False
conv_000055,user_00418,2025-07-18 13:17:58.481404,2025-07-18 13:41:58.481404,24,customer_support,5,True
conv_000056,user_00664,2025-09-28 07:08:25.481404,2025-09-28 07:17:25.481404,9,billing_question,5,True
conv_000057,user_00723,2025-08-05 01:13:57.481404,2025-08-05 01:21:57.481404,8,billing_question,4,True
conv_000058,user_00565,2025-07-23 13:08:47.481404,2025-07-23 13:25:47.481404,17,product_inquiry,5,True
conv_000059,user_00901,2025-07-22 18:11:37.481404,2025-07-22 18:25:37.481404,14,technical_help,5,True
conv_000060,user_00807,2025-08-27 19:13:15.481404,2025-08-27 19:26:15.481404,13,customer_support,4,True
conv_000061,user_00858,2025-09-04 11:46:13.481404,2025-09-04 11:55:13.481404,9,product_inquiry,4,True
conv_000062,user_00354,2025-08-10 18:44:51.481404,2025-08-10 19:01:51.481404,17,billing_question,4,True
conv_000063,user_00715,2025-08-01 16:33:49.481404,2025-08-01 16:50:49.481404,17,product_inquiry,4,False
conv_000064,user_00763,2025-08-24 10:13:15.481404,2025-08-24 10:30:15.481404,17,billing_question,5,True
conv_000065,user_00668,2025-07-24 06:32:14.481404,2025-07-24 06:41:14.481404,9,customer_support,3,True
