title,citation_count,author_prestige_score,publication_date,ranking_score
Research Paper 25,491,9.72626165,31-01-2020,1
Research Paper 48,445,8.339152856,31-12-2021,0.997494393
Research Paper 45,463,7.950202924,30-09-2021,0.989083058
Research Paper 50,445,7.561064512,28-02-2022,0.973401729
Research Paper 30,443,9.296868115,30-06-2020,0.94107264
Research Paper 40,474,5.884264748,30-04-2021,0.886163614
Research Paper 28,385,9.053446154,30-04-2020,0.839472166
Research Paper 26,413,7.97619541,29-02-2020,0.819864131
Research Paper 18,359,9.183883619,30-06-2019,0.755963615
Research Paper 27,293,9.455490474,31-03-2020,0.724844353
Research Paper 43,475,1.670955793,31-07-2021,0.717301884
Research Paper 44,187,9.881982429,31-08-2021,0.687784454
Research Paper 14,458,4.961372444,28-02-2019,0.684724145
Research Paper 37,235,8.458637582,31-01-2021,0.654106505
Research Paper 33,459,1.4070456,30-09-2020,0.630350126
Research Paper 11,466,3.741523923,30-11-2018,0.626094209
Research Paper 38,344,4.21077994,28-02-2021,0.62180087
Research Paper 2,435,5.628109946,28-02-2018,0.61858687
Research Paper 13,330,7.158097239,31-01-2019,0.600056873
Research Paper 16,372,5.456592191,30-04-2019,0.598424767
Research Paper 49,174,7.361716095,31-01-2022,0.585114812
Research Paper 42,169,8.219772827,30-06-2021,0.578550936
Research Paper 22,308,5.680612191,31-10-2019,0.552050757
Research Paper 34,313,3.927972977,31-10-2020,0.54545951
Research Paper 3,348,6.33173112,31-03-2018,0.534875271
Research Paper 46,270,2.788441134,31-10-2021,0.499462826
Research Paper 23,257,5.920392514,30-11-2019,0.49740983
Research Paper 24,343,2.6636901,31-12-2019,0.477672244
Research Paper 29,191,6.381099809,31-05-2020,0.458564037
Research Paper 36,252,3.442141286,31-12-2020,0.450327965
Research Paper 31,276,1.796432518,31-07-2020,0.383961641
Research Paper 9,102,9.690688298,30-09-2018,0.375409959
Research Paper 20,130,6.962700559,31-08-2019,0.352052914
Research Paper 10,121,8.275576133,31-10-2018,0.344509783
Research Paper 47,189,1.049699054,30-11-2021,0.315856079
Research Paper 32,160,2.763845762,31-08-2020,0.271832677
Research Paper 8,20,9.539969835,31-08-2018,0.250158152
Research Paper 21,149,3.805399685,30-09-2019,0.243929629
Research Paper 5,106,6.467903667,31-05-2018,0.217075146
Research Paper 4,270,1.418053714,30-04-2018,0.215003717
Research Paper 19,151,3.329019834,31-07-2019,0.214958102
Research Paper 12,214,1.879049026,31-12-2018,0.200835495
Research Paper 39,48,3.528410587,31-03-2021,0.187915841
Research Paper 35,21,4.498095607,30-11-2020,0.172319768
Research Paper 41,58,2.268318025,31-05-2021,0.156678249
Research Paper 7,188,1.585464337,31-07-2018,0.125157219
Research Paper 15,87,2.098344114,31-03-2019,0.050735189
Research Paper 17,99,1.30949669,31-05-2019,0.043102777
Research Paper 1,102,2.797064039,31-01-2018,0.028217358
Research Paper 6,71,2.534717113,30-06-2018,0
