paper_id,publication_date,citations,author_count,impact_factor,research_field,publication_year,citation_score,paper_age_days,recency_score,journal_score,collaboration_score,field_median_citations,field_median_authors,field_adjustment,citation_score_adj,composite_score
PAPER_00001,2022-12-26 11:32:31.111775,20,3,2.16,Biology,2022,38.855103648110145,1031,71.75342465753425,7.164179104477612,63.212055882855765,29.0,4.0,0.9206349206349206,35.7713652633395,57.95601910470333
PAPER_00002,2017-01-23 11:32:31.111775,233,4,4.14,Computer Science,2017,69.62243560584437,3194,12.493150684931509,13.73134328358209,73.64028618842732,32.0,4.0,1.0158730158730158,70.72755363133396,60.702082931424805
PAPER_00003,2016-02-04 11:32:31.111775,69,8,1.96,Computer Science,2016,54.22056376821054,3548,2.7945205479452007,6.500829187396352,93.05165487771984,32.0,4.0,1.0158730158730158,55.08120763754721,51.010516759193145
PAPER_00004,2024-02-17 11:32:31.111775,44,1,7.37,Computer Science,2024,48.581762367959065,613,83.2054794520548,24.444444444444446,28.34686894262107,32.0,4.0,1.0158730158730158,49.35290145316476,66.7134334569045
PAPER_00005,2018-11-24 11:32:31.111775,7,1,4.25,Physics,2018,26.538453332133365,2524,30.849315068493155,14.096185737976782,28.34686894262107,32.0,4.0,1.0158730158730158,26.959698623119607,34.33123304245645
PAPER_00006,2018-07-24 11:32:31.111775,7,2,7.13,Mathematics,2018,26.538453332133365,2647,27.479452054794518,23.648424543946934,48.6582880967408,31.0,4.0,0.9841269841269841,26.11720804114712,39.403812523771826
PAPER_00007,2018-04-26 11:32:31.111775,2,2,2.51,Physics,2018,14.020817786189935,2736,25.041095890410958,8.325041459369817,48.6582880967408,32.0,4.0,1.0158730158730158,14.243370449462791,28.09258774408758
PAPER_00008,2017-05-18 11:32:31.111775,123,1,1.1,Psychology,2017,61.51787141523205,3079,15.64383561643835,3.6484245439469327,28.34686894262107,32.0,4.0,1.0158730158730158,62.494345564680174,45.507020667060495
PAPER_00009,2024-01-27 11:32:31.111775,44,2,3.58,Computer Science,2024,48.581762367959065,634,82.63013698630137,11.87396351575456,48.6582880967408,32.0,4.0,1.0158730158730158,49.35290145316476,67.23547691957589
PAPER_00010,2016-12-17 11:32:31.111775,63,6,2.24,Psychology,2016,53.07690666426673,3231,11.479452054794525,7.429519071310117,86.46647167633873,32.0,4.0,1.0158730158730158,53.919397246239214,52.22501066615198
PAPER_00011,2023-05-27 11:32:31.111775,0,1,2.78,Physics,2023,0.0,879,75.91780821917808,9.220563847429519,28.34686894262107,32.0,4.0,1.0158730158730158,0.0,33.67075073158555
PAPER_00012,2024-02-13 11:32:31.111775,306,7,4.43,Computer Science,2024,73.08773949317204,617,83.0958904109589,14.693200663349918,90.30280321355949,32.0,4.0,1.0158730158730158,74.24786234227,89.90807358430163
PAPER_00013,2021-12-05 11:32:31.111775,104,4,4.62,Medicine,2021,59.39523044368934,1417,61.178082191780824,15.323383084577117,73.64028618842732,31.0,4.0,0.9841269841269841,58.45244900807522,70.87973919325839
PAPER_00014,2016-10-15 11:32:31.111775,10,5,1.08,Physics,2016,30.6026548556375,3294,9.753424657534248,3.582089552238806,81.11243971624383,32.0,4.0,1.0158730158730158,31.08841128191746,37.27126614209922
PAPER_00015,2022-06-08 11:32:31.111775,8,1,5.4,Biology,2022,28.04163557237987,1232,66.24657534246575,17.910447761194032,28.34686894262107,29.0,4.0,0.9206349206349206,25.816108939651308,46.62392973312927
PAPER_00016,2020-07-18 11:32:31.111775,8,8,3.04,Computer Science,2020,28.04163557237987,1922,47.342465753424655,10.082918739635158,93.05165487771984,32.0,4.0,1.0158730158730158,28.486740898925582,52.642811191615614
PAPER_00017,2016-03-03 11:32:31.111775,15,5,3.44,Biology,2016,35.384604442844484,3520,3.561643835616435,11.409618573797678,81.11243971624383,29.0,4.0,0.9206349206349206,32.57630250293619,38.09400411410462
PAPER_00018,2016-02-24 11:32:31.111775,34,1,2.06,Psychology,2016,45.374412657499406,3528,3.3424657534246616,6.832504145936983,28.34686894262107,32.0,4.0,1.0158730158730158,46.094641429840664,33.42423031023781
PAPER_00019,2016-11-11 11:32:31.111775,25,3,2.64,Biology,2016,41.5808000334645,3267,10.493150684931507,8.756218905472638,63.212055882855765,29.0,4.0,0.9206349206349206,38.28073653874509,39.166760081518994
PAPER_00020,2018-04-07 11:32:31.111775,14,9,4.72,Psychology,2018,34.560944581769135,2755,24.520547945205486,15.655058043117744,95.0212931632136,32.0,4.0,1.0158730158730158,35.109531003701974,50.43195448035348
