user_id,user_type,is_premium,registration_date,session_count,days_active,total_events,event_app_launch,event_conversation_started,event_message_sent,event_premium_feature_used,event_settings_changed,premium_features_used,messages_sent,days_since_last_activity,avg_sessions_per_day,engagement_score,cluster
user_00001,casual_user,True,2025-06-27 20:55:15.195277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00002,regular_user,False,2025-04-02 20:55:15.196372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00003,regular_user,False,2024-11-11 20:55:15.196372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00004,power_user,False,2025-05-30 20:55:15.196372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00005,power_user,False,2024-12-18 20:55:15.196372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00006,regular_user,False,2024-11-28 20:55:15.196372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00007,regular_user,True,2025-08-10 20:55:15.196372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00008,regular_user,False,2025-01-10 20:55:15.196372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00009,regular_user,False,2024-10-09 20:55:15.197387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00010,casual_user,False,2024-12-05 20:55:15.197387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00011,churn_risk_user,False,2025-07-11 20:55:15.197387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00012,power_user,False,2024-10-27 20:55:15.197387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00013,power_user,False,2025-01-17 20:55:15.197387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00014,casual_user,False,2025-08-19 20:55:15.197387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00015,regular_user,True,2025-08-15 20:55:15.197387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00016,regular_user,False,2025-03-04 20:55:15.197387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00017,churn_risk_user,True,2024-10-22 20:55:15.197387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00018,power_user,False,2025-01-29 20:55:15.197387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00019,regular_user,False,2025-02-13 20:55:15.197387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00020,regular_user,False,2025-03-05 20:55:15.197387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00021,casual_user,True,2025-05-04 20:55:15.197387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00022,casual_user,True,2025-09-29 20:55:15.198386,3.0,6.0,19.0,7.0,4.0,3.0,2.0,3.0,2.0,3.0,14.0,1.0,36.0,1
user_00023,casual_user,False,2025-08-06 20:55:15.198386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00024,casual_user,False,2024-12-23 20:55:15.198386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00025,casual_user,False,2025-09-10 20:55:15.198386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00026,power_user,False,2025-09-05 20:55:15.198386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00027,casual_user,False,2024-12-19 20:55:15.198386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00028,power_user,False,2025-02-23 20:55:15.198386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00029,regular_user,False,2025-10-03 20:55:15.198386,6.0,10.0,24.0,11.0,5.0,5.0,3.0,0.0,3.0,5.0,3.0,1.0,48.0,1
user_00030,regular_user,True,2025-03-15 20:55:15.198386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00031,power_user,False,2025-04-12 20:55:15.198386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00032,casual_user,True,2025-07-04 20:55:15.198386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00033,regular_user,False,2025-04-20 20:55:15.198386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00034,casual_user,False,2025-04-04 20:55:15.198386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00035,regular_user,True,2025-08-24 20:55:15.199385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00036,regular_user,False,2025-09-10 20:55:15.199385,1.0,2.0,7.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,27.0,1.0,18.0,3
user_00037,regular_user,True,2024-11-11 20:55:15.199385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00038,churn_risk_user,True,2025-02-19 20:55:15.199385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00039,casual_user,False,2025-06-09 20:55:15.199385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00040,regular_user,False,2025-05-24 20:55:15.199385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00041,churn_risk_user,False,2025-05-09 20:55:15.199385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00042,regular_user,True,2025-02-17 20:55:15.199385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00043,regular_user,False,2025-08-17 20:55:15.199385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00044,power_user,False,2025-06-17 20:55:15.199385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00045,churn_risk_user,False,2025-06-17 20:55:15.199385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00046,churn_risk_user,True,2025-02-26 20:55:15.199385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00047,regular_user,False,2025-08-16 20:55:15.199385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00048,casual_user,False,2025-02-03 20:55:15.199385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
user_00049,casual_user,False,2025-01-26 20:55:15.200385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
