paper_id,title,publication_date,journal_conference,citation_count,field_of_study,author_prestige_score,paper_quality_score,novelty_score,pdf_available,doi
24455bb4-042d-4e34-a11e-f0344d806568,Advanced Framework in Mathematics,2019-10-31 16:33:57.543717,International Conference,43,Mathematics,0.56,0.45,0.117,True,10.1234/internationalconference.2019.5044
0d9476f9-3adb-44d2-b257-173b4e0d9691,Relativistic Analysis in Physics,2019-09-23 15:55:12.395369,Science Advances,34,Physics,0.46,0.522,0.437,True,10.1234/scienceadvances.2019.9043
53ff080b-6a83-4dcd-ac43-9add304cdeac,AI Framework in Computer Science,2018-02-12 06:49:01.655711,ICML,2,Computer Science,0.673,0.541,0.574,True,10.1234/icml.2018.1640
3900b705-5112-4147-92d9-19f4609a8b77,Advanced Analysis in Medicine,2016-10-29 01:11:23.910448,The Lancet,34,Medicine,0.417,0.476,0.199,True,10.1234/thelancet.2016.8476
93d16a40-f8a5-48b0-8783-0cd6a658a620,Experimental Analysis in Chemistry,2020-09-05 11:49:05.685689,International Conference,3,Chemistry,0.759,0.681,0.372,True,10.1234/internationalconference.2020.7407
872e2414-9cdc-4927-ac98-b5fc268d16e0,Novel Framework in Chemistry,2020-08-22 22:44:40.534309,Journal of Chemistry,20,Chemistry,0.443,0.325,0.668,True,10.1234/journalofchemistry.2020.5081
14d56368-b585-4e68-8bea-50f22796f69d,Novel Framework in Mathematics,2019-03-24 07:33:53.932505,International Conference,89,Mathematics,0.098,0.204,0.478,False,10.1234/internationalconference.2019.8501
5515364e-37a4-42db-8c28-20ece78eead5,Field Study in Physics,2016-08-26 23:36:35.815264,Physical Review Letters,239,Physics,0.578,0.538,0.409,True,10.1234/physicalreviewletters.2016.2565
c8645774-a0f7-496d-880a-dd10c8b6b3a0,Genetic Approach in Biology,2023-11-24 02:57:22.767275,Science,18,Biology,0.297,0.368,0.453,True,10.1234/science.2023.4927
5bd30638-89ee-4a56-b8a8-c32556a7f1a1,Machine Analysis in Computer Science,2016-09-22 04:51:00.563150,WWW,74,Computer Science,0.525,0.688,0.092,True,10.1234/www.2016.9810
